sparsity,pretrain,posttrain
0.1,0.6848,0.81748
0.2,0.528,0.78764
0.3,0.50936,0.75336
0.4,0.51172,0.51332
0.5,0.50904,0.52016
0.6,0.50296,0.49944
0.7,0.49652,0.50384
0.8,0.49528,0.50148
0.9,0.5,0.5
