sparsity,pretrain,posttrain
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.50904,0.52016
0.6,0.50296,0.49944
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
