width,accuracy
4,0.5
5,0.8258
6,0.83484
7,0.84072
8,0.84312
9,0.84512
10,0.84516
11,0.8446
12,0.8462
13,0.84508
14,0.84552
15,0.84532
16,0.845
17,0.84512
18,0.845
19,0.84472
20,0.84504
21,0.84488
22,0.84484
23,0.84508
24,0.84488
25,0.84492
26,0.84488
27,0.84496
28,0.845
29,0.84504
30,0.84512
31,0.84516
