n,fst_train,compress,snd_train
0,0.82164,0.78556,0.85656
1,0.85476,0.75072,0.84292
2,0.81064,0.75944,0.85908
3,0.855,0.70272,0.87408
4,0.83472,0.75336,0.86536
5,0.85488,0.7846,0.87516
6,0.83428,0.51808,0.86096
