n,fst_train,compress,snd_train
0,0.85088,0.782,0.86412
1,0.83172,0.65264,0.87012
2,0.84448,0.83072,0.86956
3,0.8604,0.84264,0.83876
4,0.85784,0.82928,0.87632
5,0.86012,0.83252,0.86952
6,0.84544,0.8222,0.86748
7,0.84364,0.62212,0.86796
8,0.83076,0.65008,0.86164
9,0.83984,0.60636,0.84668
